no,x,y,shape_labels,video_labels
1,0.3765598536,-0.2009036839,1,1
1,-0.0085138828,-0.2556138337,1,1
1,0.1272579879,0.1959495246,1,1
1,0.5460962653,-0.1250496209,1,1
1,0.0752289742,0.731443584,1,1
1,0.2567052245,0.7951933742,1,1
1,0.0355515927,0.7203252912,1,1
1,0.1024555415,0.3935682476,1,1
1,-0.0715592951,0.4668245018,1,1
1,0.2770215869,0.1389243305,1,1
1,0.0935132653,-0.1781957448,1,1
1,0.6807738543,0.1713862121,1,1
1,0.3429290056,0.2414488494,1,1
1,0.9114080667,-0.1149547473,1,1
1,1.0682995319,-0.4000294507,1,1
1,0.622456789,-0.3470778763,1,1
1,0.2324342877,0.3579082191,1,1
1,0.48200804,-0.2766290009,1,1
1,0.7393887043,-0.1589386761,1,1
1,0.9836804867,0.2241644561,1,1
1,1.4461154938,-0.3315564692,1,1
1,0.7534507513,0.0492472276,1,1
1,1.0290454626,0.7374389768,1,1
1,1.0084667206,-0.1082978621,1,1
1,1.2172191143,-0.6007696986,1,1
1,1.4549155235,-0.2857628167,1,1
1,1.9976930618,0.137029618,1,1
1,1.0200303793,0.177203387,1,1
1,1.2270350456,-0.19876495,1,1
1,1.9155812263,0.2012254894,1,1
1,1.438719511,0.4394105375,1,1
1,1.531591177,0.2001275718,1,1
1,1.6699867249,0.3023712337,1,1
1,1.4622744322,0.0345368013,1,1
1,1.1488841772,-0.2561468184,1,1
1,1.4459850788,-0.0092399493,1,1
1,0.9649820328,-0.4757073224,1,1
1,1.6374605894,-0.5137730241,1,1
1,1.9663231373,-0.0715978518,1,1
1,1.8458381891,-0.2226417363,1,1
1,1.2754619122,-0.3716662228,1,1
1,1.3166991472,-0.6903659701,1,1
1,1.8416733742,-0.4453082383,1,1
1,2.2114787102,-0.2327359021,1,1
1,2.0489776134,-0.103204526,1,1
1,1.9095263481,-0.4007568657,1,1
1,1.5599678755,0.0094322786,1,1
1,1.3682777882,-0.3495786488,1,1
1,1.9253481627,-0.1985481083,1,1
1,1.6068116426,-0.1823416054,1,1
