step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.3630619421,0.1545350287,0.4341911315,-1,0,0,0,0.4131293778,0.3465403986,0.5108294068,0.6974407245,-0.7162845096,-0.0153938989,0.016612196,right,open
2,0.5802978256,0.1528415685,0.4340008602,-1,0,0,0,0.5897245497,0.341413925,0.50383142,0.7,-0.7,0,0,both,open
3,0.5781699452,-0.0094693815,0.4365345879,-1,0,0,0,0.588954548,0.3412281233,0.5042373571,0.7,-0.7,0,0,right,open
4,0.5804451384,-0.0088685162,0.3195847862,-1,0,0,0,0.5907274772,0.341565306,0.3810983951,-0.7,0.7,0,0,both,open
5,0.5870813369,0.0102418429,0.2407009586,-1,0,0,0,0.58878245,0.3096334267,0.3128235282,0.7,-0.7,0,0,both,open
6,0.5885376143,0.0115238384,0.1621526029,-1,0,0,0,0.5884090979,0.307439468,0.1971610446,0.7,-0.7,0,0,both,open
7,0.5902940349,0.0126464294,0.0572714919,-1,0,0,0,0.5874077814,0.3014628177,0.0713892395,0.7,-0.7,0,0,both,open
8,0.5069327488,0.0126655652,0.0570017578,1,0,0,0,0.5056389981,0.3024626476,0.0706565704,-0.7,0.7,0,0,both,open
9,0.4299058342,0.0139985487,0.0572378737,-1,0,0,0,0.4399608168,0.3029940628,0.0709375587,0.7,-0.7,0,0,both,open
10,0.3416657794,0.0136178868,0.0573788945,-1,0,0,0,0.3763672957,0.3040376011,0.0714211246,0.7,-0.7,0,0,both,open
11,0.3414327727,0.0152081547,-0.0188185138,-1,0,0,0,0.375973701,0.3031451287,-0.0031717252,0.7,-0.7,0,0,both,open
12,0.3118287064,0.0181184521,-0.0753558902,-1,0,0,0,0.3489147227,0.2906693768,-0.1106096711,-0.7,0.7,0,0,both,open
13,0.3100966636,0.0192652477,-0.2864281872,-1,0,0,0,0.3617442872,0.2876145807,-0.280491213,-0.7,0.7,0,0,both,w_r_o_l_o
