step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.55352193,-0.4577132449,0.397052292,0,-0.5,-0.5,0,0.4503965217,0.1975270999,0.320916888,-0.0966847207,0.9951969855,0.0072218222,0.0135229509,right,open
1,0.5550862475,-0.4573176599,0.3972726757,0,-1,0,0,0.4504715808,0.1979134555,0.3203979189,-0.0243647049,0.9995311589,0.0183724664,0.0025052044,right,open
1,0.5488171807,0.0273362762,0.0075929913,0,-0.5,-0.5,0,0.4503853611,0.197529158,0.3207619819,-0.0241565316,0.9995499591,0.0176292666,0.0023558667,right,open
1,0.550637294,0.0261815027,0.0072077622,-0.5,-0.5,-0.5,0.5,0.4517022974,0.1986841998,0.3190052249,-0.9993284848,-0.0234652568,0.0240696461,0.0145812666,right,open
1,0.5516544092,0.0268996,-0.1098202256,-0.5,-0.5,-0.5,0.5,0.4515730293,0.1991258386,0.3187559619,-0.9993249978,-0.0230705581,0.023680791,0.0160161856,right,open
1,0.553420883,0.1443369632,-0.1075665923,-0.5,-0.5,-0.5,0.5,0.4897944394,0.2074406091,0.5085411632,-0.9990150767,-0.0371177537,0.0196931354,0.0142593571,right,open
1,0.438045,0.1476283391,-0.1075665923,-0.5,-0.5,-0.5,0.5,0.4898386984,0.2063657398,0.507941884,-0.9997084859,-0.0110524106,0.0190896295,0.0098170015,right,open
1,0.438045,0.232852,-0.1075665923,-0.5,-0.5,-0.5,0.5,0.4898386984,0.2063657398,0.507941884,-0.9997084859,-0.0110524106,0.0190896295,0.0098170015,right,open
1,0.438045,0.232852,0.01796,-0.5,-0.5,-0.5,0.5,0.4898386984,0.2063657398,0.507941884,-0.9997084859,-0.0110524106,0.0190896295,0.0098170015,right,w_r_c
1,0.4317622692,0.2653787859,0.2568788222,-0.5,-0.5,-0.5,0.5,0.4964878241,0.2062757823,0.2877437629,-0.9997288045,-0.0141671028,-0.0184793976,0.0003500128,left,open
1,0.434486595,0.0415900058,0.2551511974,-1,0,0,0,0.4983300512,0.2068726195,0.2877263848,-0.9991401963,-0.0334037713,-0.0100795179,0.0223932918,right,open
1,0.7175174824,-0.0265126681,0.2546806087,-1,0,0,0,0.7114606064,0.2030170204,0.2880347518,-1,0,0,0,both,open
1,0.6305351193,-0.0250838203,0.1178785148,-1,0,0,0,0.6333105191,0.2013744763,0.089433318,-1,0,0,0,both,open
1,0.5032560224,-0.0265522324,0.0358604692,-1,0,0,0,0.5135188333,0.1995688606,0.0128203208,-1,0,0,0,both,open
1,0.291261088,-0.0264508122,-0.0417576141,-1,0,0,0,0.3303178219,0.2074271195,-0.0572587645,-1,0,0,0,both,open
1,0.2927429492,-0.0147646821,-0.2146416018,-1,0,0,0,0.3373890759,0.2047985203,-0.2112955611,-1,0,0,0,both,open
