step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5528569979,0.0051656945,0.4038051773,-0.9999764785,-0.0034487938,0.0057109977,0.0015914476,0.7504916355,0.166563492,0.0502647556,-0.9999764785,-0.0014599908,0.0001691321,0.0016922157,left,open
2,0.5528792605,0.0055421086,0.4050651086,-0.999994874,-0.0025939338,0.0018393981,0.0003741851,0.7495080924,0.0240954643,0.0504967413,-0.999994874,0.0036871616,-0.0046782511,0.0009812815,left,open
3,0.5527283087,0.0052892222,0.404932454,0.999992231,0.0035374478,-0.0017213358,0.0002479303,0.7489790713,0.0236831734,0.223164544,0.5,-0.5,0.5,0.5,left,w_r_o_l_c
4,0.5055946599,-0.0416169475,0.4953460179,0.999995823,0.0027460361,-0.0009018008,8.22488746579614E-06,0.7491175908,0.0239259917,0.223448866,0.999995823,0.0119190818,0.0044803372,0.002850849,right,open
5,0.5054605254,-0.0416875349,0.4953217562,-0.4794441071,-0.8775711887,0.0004480506,0.0013986107,0.7494694826,0.0239193456,0.2224731944,-0.4794441071,0.012252195,0.0043155542,0.0028473222,right,open
6,0.5529507976,0.0058093367,0.403314954,0.6980901212,-0.7159718988,-0.0064182203,0.0036372095,0.7060262775,0.3574622744,0.4211775017,-0.7,0.7,0,0,left,open
7,0.5523054346,0.005989312,0.4038215749,0.7037253628,-0.7104396631,0.0041340318,0.005385969,0.2881682894,0.3481690204,0.4208179862,-0.7,0.7,0,0,left,open
8,0.3610724209,0.1857610204,-0.0546859396,-0.5007185817,0.5212603498,0.4824381744,0.494794864,0.4371836456,0.343085668,0.4124304565,-0.7,0.7,0,0,left,open
9,0.4676349252,0.2557576595,-0.0915961708,-0.5,0.5,0.5,0.5,0.4371955567,0.3455084216,0.4124070511,0.7126999847,-0.7013820512,-0.0023881777,0.0107817762,right,w_r_c
10,0.5281562804,0.2045052141,0.3919449805,-0.5,0.5,0.5,0.5,0.4362457872,0.3410520558,0.4116336238,0.7095962376,-0.7043717319,-0.0177728949,0.0042150872,right,open
11,0.5303157012,-0.063383129,0.3853023723,-0.7,0.7,0,0,0.4359144057,0.3406419561,0.4115904792,0.7031887229,-0.7109910315,0.0026595281,0.0032093617,right,open
12,0.7442597016,-0.064554248,0.3871258657,-0.7,0.7,0,0,0.7350162409,0.3419798542,0.4101301643,0.7,-0.7,0,0,both,open
13,0.7446122714,-0.061636624,0.1141988646,-0.7,0.7,0,0,0.7387387634,0.3442973901,0.0871075157,-0.7,0.7,0,0,both,open
14,0.3596222134,-0.063221882,0.1107027524,-0.7,0.7,0,0,0.3466943104,0.3439397658,0.090021608,0.7,-0.7,0,0,both,open
15,0.3626500599,-0.0639176967,-0.1821747846,-0.7,0.7,0,0,0.2837889275,0.3758992908,-0.1819174014,0.7,-0.7,0,0,both,w_r_o_l_o
