step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5516283767,0.0059875684,0.4042255069,-0.9999437578,-0.006989911,0.0049814532,0.0062295747,0.7644123721,-0.0082257164,0.0503529894,-0.9999437578,-0.0071355345,-0.0071149141,0.0078940552,left,open
2,0.5530282099,0.0040263348,0.508527698,-0.9999440588,-0.007631843,0.0003297795,0.0073161169,0.7647418561,-0.0074699785,0.0509403387,-0.9999440588,-0.0029306731,-0.0040162301,0.0037545969,right,open
3,0.553810003,0.0037091401,0.508199434,-0.9999149255,-0.0050803588,-0.0036645107,0.011441288,0.7631590868,0.1629945943,0.0512972844,-0.9999149255,-0.0036438892,-0.0113531017,0.0042937917,left,open
4,0.554184062,0.0051637718,0.5087676438,-0.9999326675,-0.005896759,-0.0048261015,0.0087519967,0.4044237707,0.1603297633,0.0428266585,0.5,-0.5,0.5,0.5,left,w_r_o_l_c
5,0.5529507976,0.0058093367,0.403314954,0.6980901212,-0.7159718988,-0.0064182203,0.0036372095,0.7060262775,0.3574622744,0.4211775017,-0.7,0.7,0,0,left,open
6,0.5523054346,0.005989312,0.4038215749,0.7037253628,-0.7104396631,0.0041340318,0.005385969,0.2881682894,0.3481690204,0.4208179862,-0.7,0.7,0,0,left,open
7,0.3610724209,0.1857610204,-0.0546859396,-0.5007185817,0.5212603498,0.4824381744,0.494794864,0.4371836456,0.343085668,0.4124304565,-0.7,0.7,0,0,left,open
8,0.5527349579,0.0052451277,0.4041737878,-0.9999307995,-0.0094012281,0.0052905394,0.0046929073,0.4150545761,0.3454860801,0.51228141,-0.7,0.7,0,0,left,open
9,0.3312817991,0.2546367648,-0.1793251894,-0.5,-0.5,-0.5,0.5,0.4160829944,0.3438378269,0.5120502265,-0.6974585022,0.7165710269,-0.0029371609,0.008305074,right,w_r_c
10,0.3265641314,0.4126574112,0.4288113626,-0.5,-0.5,-0.5,0.5,0.4172970586,0.3475120812,0.5125729397,0.70079262,-0.7127366891,-0.0003198896,0.0299334828,right,open
11,0.3287913921,-0.0558831646,0.4252926347,-0.5,-0.5,0,0,0.4148796769,0.3466561385,0.5120923242,0.6918655265,-0.7215616106,-0.0013733452,0.0258659883,right,open
12,0.6947611823,-0.048759054,0.4287624082,0.5,0.5,0,0,0.6111492419,0.3502525392,0.5227373817,0.7,-0.7,0,0,right,open
13,0.6943120069,-0.0478203201,0.4284669866,0.7034666145,0.710723545,0.0005384114,0.0025446069,0.598728846,0.3438623135,0.5097159983,0.7,-0.7,0,0,left,open
14,0.6953860223,-0.0516697346,0.086267841,0.5,0.5,0,0,0.6009990884,0.3271517422,0.1365981763,0.7,-0.7,0,0,both,open
15,0.3549385585,-0.059320473,0.0854345054,-0.5,-0.5,0,0,0.3762251149,0.3276632885,0.1387328853,0.7,-0.7,0,0,both,open
16,0.3539534445,-0.0611961055,-0.1255507107,0.5,0.5,0,0,0.3764718165,0.3292129394,-0.1008835222,-0.7,0.7,0,0,both,w_r_o_l_o
