step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5528569979,0.0051656945,0.4038051773,-0.9999764785,-0.0034487938,0.0057109977,0.0015914476,0.7504916355,0.166563492,0.0502647556,-0.9999764785,-0.0014599908,0.0001691321,0.0016922157,left,open
2,0.5528792605,0.0055421086,0.4050651086,-0.999994874,-0.0025939338,0.0018393981,0.0003741851,0.7495080924,0.0240954643,0.0504967413,-0.999994874,0.0036871616,-0.0046782511,0.0009812815,left,open
3,0.5527283087,0.0052892222,0.404932454,0.999992231,0.0035374478,-0.0017213358,0.0002479303,0.7489790713,0.0236831734,0.223164544,0.999992231,0.0069744872,-0.0004873516,0.001196177,left,open
4,0.5055946599,-0.0416169475,0.4953460179,0.999995823,0.0027460361,-0.0009018008,8.22488746579614E-06,0.7491175908,0.0239259917,0.223448866,0.999995823,0.0119190818,0.0044803372,0.002850849,right,open
5,0.5054605254,-0.0416875349,0.4953217562,-0.4794441071,-0.8775711887,0.0004480506,0.0013986107,0.7494694826,0.0239193456,0.2224731944,-0.4794441071,0.012252195,0.0043155542,0.0028473222,right,open
6,0.5048033686,-0.0418288708,0.4949381912,-0.4816198388,-0.8763727923,-0.0035084242,0.0008664234,0.65447187,-0.0622004365,0.2229007568,-0.4816198388,0.0033450557,0.0027659136,0.0049477793,left,w_r_o_l_c
7,0.3337038748,-0.2651371152,0.4580667815,-0.4750254279,-0.8799496108,0.000387294,0.0062749686,0.654255654,-0.0630008394,0.2228938782,-0.4750254279,0.0048662546,0.0083704199,0.0122888659,right,open
8,0.3336014628,-0.2647968482,0.4581263006,-0.4715212032,-0.8817895533,0.0034610576,0.0101469043,0.6563721976,-0.0653407059,0.3519017809,-0.4715212032,0.0047250238,0.0085290235,0.0140672072,left,open
9,0.3331216692,-0.2647174729,0.4579228523,-0.4715200894,-0.8817826037,0.003505517,0.0107683079,0.6569847701,-0.0647990711,0.3530110302,-0.4715200894,0.6077334304,0.0143454604,0.0070116828,left,open
10,0.3239211556,-0.2630550585,0.0351704915,-0.4711923379,-0.8819597868,0.003484572,0.0106100426,0.6566830155,-0.0653258519,0.3517883844,-0.4711923379,0.6075738518,0.014906672,0.0059558214,right,open
11,0.491684489,-0.2229658344,0.0732604394,-0.4727676318,-0.881056287,0.0071768881,0.0133819903,0.6572398908,-0.0647874963,0.3522669577,-0.4727676318,0.7873987273,0.0218086862,0.0050407531,right,open
12,0.5551679076,-0.1890952395,0.0393938844,-0.4735344085,-0.8806526411,0.0065406749,0.0131646965,0.6569088257,-0.0649850077,0.3524234436,-0.4735344085,0.787310281,0.0217517793,0.0042485513,right,w_r_c
13,0.5613373111,-0.1909987161,0.3422281727,-0.472533079,-0.8812554053,0.0037332527,0.0093521434,0.6571786587,-0.064211629,0.3527228944,-0.472533079,0.7905580315,0.0134743671,0.0084960183,right,open
14,0.5224146318,-0.2878050206,0.3419580188,-0.4743085828,-0.8803171368,-0.0012443974,0.0084592239,0.6772495079,-0.0051801775,0.3399507201,-0.4743085828,0.7907932033,0.013306065,0.0082111229,both,open
15,0.6634803132,-0.3704926431,0.3769742845,-0.4763200844,-0.8791732976,-0.0061000714,0.0116738627,0.73431603,-0.0053312184,0.3516764114,-0.4763200844,0.8594897041,0.0165543396,0.0071762399,both,open
16,0.6595696026,-0.3657672101,0.1619437815,-0.4759187917,-0.8793824038,-0.00580356,0.0124181453,0.733465963,0.0020491069,0.15273598,-0.4759187917,0.8594875645,0.0170417741,0.0071815217,both,open
17,0.5389644787,-0.3549741599,0.1567648037,-0.4765786081,-0.8790345393,-0.0063531186,0.0114344586,0.6191033267,0.0036819895,0.1478242777,-0.4765786081,0.8594303125,0.0169939751,0.0071077084,both,open
18,0.3972517713,-0.3706552754,0.1667322238,-0.4766673451,-0.8788729743,-0.0184532582,0.0054785384,0.4893448346,0.0230305507,0.1474824875,-0.4766673451,0.8595068514,0.0063580646,0.0036682236,both,open
19,0.3811729823,-0.3557442574,0.0182440011,-0.4765039301,-0.8788499216,-0.0228408588,0.0067167819,0.4801315551,0.0325656011,0.0135843993,-0.4765039301,0.8606757746,0.0028643887,0.0027766163,both,open
20,0.3818754024,-0.3492308149,-0.0894461325,-0.4758637153,-0.879145685,-0.0245296912,0.0074083229,0.4809997944,0.0322212948,-0.0873778002,-0.4758637153,0.8608862767,0.0010541183,0.0021842215,both,w_r_o_l_o
