step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5516303127,0.0050031611,0.4042866942,-0.9999870137,-0.0040696703,0.00263978,0.0015626313,0.7460566155,0.1813695582,0.0530416793,-0.9999870137,-0.0052988133,-0.0005417507,0.0004668552,left,open
2,0.5523771933,0.0052024562,0.4048652279,-0.999986682,-0.0032011851,0.0027121198,0.0030054276,0.7443811216,0.1806138604,0.2393032933,-0.999986682,-0.0064775693,-0.0057723255,0.0015384837,left,open
3,0.552038361,0.0053927297,0.4041679615,-0.999983871,-0.0044696211,0.002493389,0.0024623719,0.7452910802,0.0294648988,0.2395826722,-0.999983871,0.0043011844,0.008599642,0.0034405717,left,open
4,0.5519888367,0.0056158,0.4978654204,-0.9999749088,-0.0060730017,0.0019906993,0.0030557356,0.7450737839,0.0306461089,0.2398733298,-0.9999749088,0.0014961158,0.003977313,0.0082290388,right,open
5,0.5521773686,0.005816522,0.498049558,-0.7282046648,-0.6853043525,-0.0015678947,0.0085704319,0.7458563345,0.029864038,0.2394263948,-0.7282046648,0.0023282092,0.0034082228,0.0040097166,right,open
6,0.5500836661,0.0036731967,0.4971625588,-0.7282371382,-0.6852744193,0.0029816476,0.0077942616,0.6778302229,0.0356550455,0.2375287222,-0.7282371382,-0.0025182266,0.0057684049,0.0039343911,left,w_r_o_l_c
7,0.4857238738,-0.0878188877,0.5257235482,-0.4316817775,-0.9019286635,-0.0100894434,0.0085867414,0.7016383108,0.061636836,0.3165535014,-0.4316817775,-0.0141821571,-0.0310215701,0.015634902,right,open
8,0.3817240312,-0.2764176532,0.494800722,-0.431210864,-0.902168811,-0.0053262207,0.0109662456,0.6984919443,0.0529734479,0.3182452799,-0.431210864,-0.0065503717,-0.0315643416,0.0151748697,right,open
9,0.3509393723,-0.2218903042,0.0523792359,-0.4286775599,-0.9032754638,-0.0075320216,0.0165001454,0.6987934648,0.0531915294,0.3184451662,-0.4286775599,-0.0068338739,-0.0319978729,0.0151791541,right,open
10,0.429425697,-0.0659937559,0.0182397047,-0.4301202825,-0.902513726,-0.006285282,0.0206400632,0.6988652741,0.0524871982,0.3188685657,-0.4301202825,-0.0070506429,-0.0314447675,0.0133795797,right,open
11,0.5765777101,-0.0971144873,0.0550402767,-0.4271683917,-0.9038045332,-0.0028364462,0.0256219736,0.6994212677,0.0533077517,0.318279285,-0.4271683917,-0.0082802647,-0.0315777822,0.0143275672,right,open
12,0.6140074187,-0.0862821447,-0.0533984962,-0.4294693575,-0.9028296803,-0.0023776934,0.0211892873,0.6988702042,0.0521241296,0.318453889,-0.4294693575,-0.0065388431,-0.0318625159,0.0144477921,right,w_r_c
13,0.6035304925,-0.1759201828,-0.0300210777,-0.4236259249,-0.9055902866,-0.0048042237,0.020596797,0.6989114545,0.0525330496,0.3180063356,-0.4236259249,-0.0062610373,-0.03173922,0.015005694,right,open
14,0.5657349897,-0.2090126671,-0.0082765387,-0.4338459097,-0.9005977681,0.0011835256,0.0264572502,0.6789349017,0.0345201056,0.2380389419,-0.4338459097,-0.0038718965,0.0076337722,0.0035100859,right,open
15,0.5903168379,-0.2211416833,0.2274611956,-0.4282927651,-0.9032592504,0.0013708655,0.0261945558,0.6788786356,0.03466235,0.2375645734,-0.4282927651,-0.0036103945,0.008375117,0.0028390429,right,open
16,0.596558002,-0.2226618147,0.3704500186,-0.4258998552,-0.9043936777,0.0092675918,0.0244028856,0.6816523589,0.0360359846,0.3571755125,-0.4258998552,-0.0059546914,0.0070863067,0.0046188456,both,open
17,0.6983938961,-0.2604374422,0.4245052788,-0.4257022012,-0.9045301396,0.0072160757,0.0234689294,0.7208936711,0.0299743398,0.3759287137,-0.4257022012,-0.0067876321,0.0069137814,0.0055937588,both,open
18,0.6868086012,-0.2732148876,0.2570757007,-0.4238564899,-0.9054425017,0.0072394128,0.0216134904,0.7198403877,0.031960677,0.2367852688,-0.4238564899,-0.0215119848,0.0102913573,0.0118466687,both,open
19,0.5922900819,-0.2658723169,0.2074427419,-0.4284002399,-0.9032988438,0.0063767001,0.021994794,0.6310951826,0.0288661769,0.1965568385,-0.4284002399,-0.0512606295,0.0251508597,0.0300576417,both,open
20,0.5887003652,-0.2641958664,0.1405763713,-0.4286731228,-0.9031324558,0.0014764053,0.0242681135,0.6246072472,0.0331538671,0.1552595546,-0.4286731228,-0.1167838053,0.063679101,0.0676665073,both,open
21,0.4648891187,-0.2829577038,0.150165371,-0.4290700482,-0.9029181311,0.0019485404,0.0251782727,0.5011701643,0.052245363,0.1383319674,-0.4290700482,-0.1165183656,0.0622540588,0.0676335944,both,open
22,0.4551806614,-0.2785320707,0.0782529977,-0.4289190396,-0.9030300393,0.0019956908,0.0236901394,0.495819154,0.0587115167,0.0658193654,-0.4289190396,-0.1176522816,0.0625565358,0.0671721882,both,open
23,0.3615285133,-0.3003915781,0.0655659591,-0.4293962709,-0.9027915832,0.0013320576,0.0241748948,0.4706983752,0.069942766,0.0253611645,-0.4293962709,-0.1167465298,0.0618196396,0.0673309068,both,open
24,0.3501533319,-0.294636106,-0.0250930125,-0.4129435155,-0.9104275463,0.0013838232,0.0244421954,0.4533049153,0.0743915106,-0.0563866659,-0.4129435155,-0.1175466011,0.0638235909,0.0673961391,both,w_r_o_l_o
