step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5527096516,0.0064889687,0.4041564352,-0.9999104848,-0.0085871048,0.006778909,0.0077026175,0.6178253378,0.1684060479,0.0555171795,-0.9999104848,0.0041157757,-0.0023085417,0.0038784068,left,open
2,0.5525966996,0.0051730349,0.4030943912,-0.9999607275,-0.0039692467,0.0053964427,0.0058023306,0.6096454278,0.1703316188,0.2253934067,-0.9999607275,0.0010101629,-0.0051472369,0.006183294,left,open
3,0.5539452866,0.0033582791,0.5006146449,-0.999966202,-0.0029415759,0.0043515185,0.0063250459,0.6100551748,0.1695345478,0.2266382042,-0.999966202,0.0021102837,-0.0100084538,0.0058443313,right,open
4,0.5532735056,0.0043203349,0.4992738802,0.3801653461,-0.9248766118,-0.0081492937,0.003339402,0.6095300565,0.1715143212,0.2243174386,0.3801653461,0.0007409295,-0.0077797502,0.0073528453,right,open
5,0.5540142237,0.0041551765,0.4992477677,0.3843209596,-0.9231543723,-0.0086957154,0.0027909723,0.5701911647,0.1754951999,0.070244164,0.3843209596,0.0063534493,-0.0042628591,0.0069687743,left,open
6,0.5531522487,0.004949055,0.4989349918,0.382041295,-0.9240373784,-0.013942177,0.0022333894,0.5754269161,0.0671815445,0.0742253418,0.382041295,0.0118126689,-0.0110132968,0.0161841874,left,w_r_o_l_c
7,0.553885112,0.0049981291,0.4996109876,0.3806615296,-0.9246031342,-0.0121916175,0.0075636349,0.6320297123,0.3072919472,0.1220812812,0.3806615296,0.030188029,-0.0334992225,0.0388556502,left,open
8,0.553519017,0.0032890815,0.4990383136,0.3783290033,-0.9256235776,-0.0093570955,0.0007762965,0.5706265153,0.1884872714,0.4719619961,0.3783290033,0.0838752046,-0.0843400443,0.1036597558,left,open
9,0.5609162327,0.0189356478,0.0977476681,-0.3826271941,0.9238222643,0.0121667518,0.0009079545,0.5689396179,0.1880636206,0.4722453162,-0.3826271941,0.2084420925,-0.2037244664,0.2501979825,right,open
10,0.5619547379,0.0651850803,-0.0792652849,0.3823722283,-0.9238948385,-0.0142864341,0.0023883482,0.5716546448,0.1881234824,0.4714646213,0.3823722283,0.2023517856,-0.2009676888,0.2544579204,right,open
11,0.5579279836,0.1569204391,-0.0804706589,0.3813365905,-0.9243395137,-0.0129961469,0.0031572792,0.5718499631,0.1879169023,0.4718891101,0.3813365905,0.2024481547,-0.1998006486,0.2542844316,right,w_r_c
12,0.5715350242,0.0294455174,0.1891628059,0.3802283869,-0.9247759907,-0.0146777193,0.0005525665,0.570478296,0.1879243101,0.471671143,0.3802283869,0.2086547813,-0.2063219698,0.2575841704,right,open
13,0.5700201346,-0.0638044091,0.3364792016,0.3773402367,-0.9260046694,-0.0102349453,0.0049943848,0.5701523789,0.1881338117,0.4716459985,0.3773402367,0.2088983244,-0.2046773159,0.2525205199,right,open
14,0.5641845125,-0.0614600096,0.1435963298,0.3805736133,-0.9246351522,-0.0116036225,0.0088834771,0.5090034191,0.161935151,0.2333851849,0.3805736133,0.2097212677,-0.2100340493,0.25663456,both,open
15,0.451434014,-0.0584027539,0.1422679311,0.3795999098,-0.9250148225,-0.01104758,0.0113770655,0.3921442518,0.179282394,0.2406398326,0.3795999098,0.3867916283,-0.3838144645,0.4632972218,both,open
16,0.3721536255,-0.1070203929,0.1311727441,0.3754216901,-0.9267310746,-0.0045133441,0.0144117886,0.3367763057,0.1493398018,0.219127161,0.3754216901,0.4783826287,-0.4782687482,0.566476365,both,open
17,0.3422692795,-0.1075652127,0.0577804441,0.3755368742,-0.9266798915,-0.0042567905,0.0147754707,0.3198497443,0.1628359276,0.1230822179,0.3755368742,0.477865001,-0.4788577418,0.566282535,both,open
18,0.3129861641,-0.1251796402,0.0544445673,0.3749478369,-0.9269280776,-0.0048630834,0.013957398,0.2761038307,0.1388590078,0.1086416091,0.3749478369,0.4778594291,-0.4786058687,0.566206062,both,w_r_o_l_o
