step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5521155484,0.004348822,0.404146184,-0.9999775604,-0.0033918904,0.0022370538,0.0053262959,0.7682384313,0.1942661827,0.0889949382,-0.9999775604,-0.0038443865,0.0012530249,0.0051095011,left,open
2,0.5524079938,0.0065159451,0.4041640425,-0.9999430725,-0.0041636534,0.0059082329,0.0078491047,0.5894214851,0.1919755896,0.0878974992,-0.9999430725,-0.0074357899,-0.0007967943,0.0109914253,left,open
3,0.5525623818,0.0052117748,0.4037115465,-0.9999601509,-0.0036092449,0.0079985559,0.0016410402,0.5898449743,0.1403402676,0.086179088,-0.9999601509,-0.0027055553,0.0021036787,0.0095115707,left,open
4,0.5526178413,0.0041138617,0.4038102166,-0.9999854728,-0.0039357819,0.0017740412,0.0032274638,0.5895752867,0.1411169579,-0.0053471123,-0.9999854728,0.0003021217,0.0022050653,0.0048096027,left,open
5,0.5516029889,0.0055940956,0.4041787129,-0.9999621335,-0.0056723973,0.0052887108,0.0039477892,0.59052687,0.0977143288,-0.0061435843,-0.9999621335,-0.0049720146,-0.0009448072,0.0090357716,left,open
6,0.5525819626,0.0054613287,0.404746271,-0.9999287406,-0.0098278923,0.0042272262,0.0052968702,0.5910926263,0.0976228363,0.0258466746,-0.9999287406,-0.0036938644,0.0024282695,0.0065160016,left,open
7,0.5523839486,0.0056224553,0.4033330964,-0.9999710932,-0.0032694241,0.005438865,0.0041883695,0.6769580475,0.0966728626,0.0255241349,-0.9999710932,0.0015139909,0.001751873,0.0106002074,left,open
8,0.5526094045,0.0057021892,0.4037657483,-0.9999714761,-0.0032379064,0.0049782984,0.0046668461,0.6763292359,0.0251820425,0.023968466,-0.9999714761,0.0023109624,0.0017370479,0.0112751139,left,open
9,0.5523342374,0.0059482719,0.4034573231,-0.9999712977,-0.0034609663,0.0051820417,0.0043095132,0.6334918895,0.0258055068,0.0233398581,-0.9999712977,0.0009149948,0.0022808073,0.0113774911,left,open
10,0.5531393377,0.0057737848,0.4038559393,-0.9999422258,-0.0045047471,0.00762282,0.0060946641,0.6332770704,0.025589781,0.0230983193,-0.9999422258,0.0003542146,-0.0010293323,0.008374704,left,l_c
11,0.9110758027,-1.1026789452,0.3084404373,0.268953676,0.6547088011,-0.2713023707,0.652238706,0.9149330197,1.0994367508,0.3088905911,0.268953676,0.6542538131,0.2684406512,0.6537362278,left,r_o
12,0.5527091986,0.0057411531,0.4037179903,-0.9999729355,-0.0067742387,0.0018682345,0.0021788974,0.6376464581,0.2689100425,0.0321283393,-0.9999729355,0.0066324996,0.0039937175,0.0146855832,left,open
13,0.5521331575,0.0055591747,0.4037279961,-0.9999641036,-0.0074433712,0.0005974985,0.0040038501,0.6434216728,0.2533202157,0.4815396705,-0.9999641036,0.0018583676,0.0063189311,0.0182600021,left,open
14,0.5522701727,0.0055707128,0.4044054123,-0.9999745233,-0.0027048448,0.0029060628,0.005932237,0.6414898178,0.2499864798,0.479215442,-0.9999745233,0.7838542158,-0.002270287,0.0060280488,left,open
15,0.5491926405,0.0093201144,0.0663718998,-0.9999454261,-0.0072935852,0.0037399801,0.0064777256,0.6444886767,0.2500894151,0.4791377298,-0.9999454261,0.6197085482,-0.0018435455,0.0115319164,right,open
16,0.5469463711,0.1774784544,0.0695557548,-0.9999418042,-0.0073271139,0.003300255,0.0071979153,0.644130624,0.2500511162,0.4794045298,-0.9999418042,0.6198212092,-0.001714875,0.0115180252,right,open
17,0.5476027283,0.1811269611,-0.1196667384,-0.999931468,-0.0042648236,-0.0001787838,0.0109013148,0.6414185575,0.2497469453,0.4791656611,-0.999931468,0.6182051578,-0.0007969924,0.0050878326,right,open
18,0.548548123,0.2241607488,-0.118603062,-0.9999164297,0.0017188745,-0.0019435231,0.0126649839,0.6414003218,0.2501371939,0.4787484429,-0.9999164297,0.6133503531,-0.005589022,0.0057252089,right,open
19,0.548438049,0.2242014213,-0.1186081791,-0.9998704189,0.0058696328,-0.0025697527,0.0147678439,0.6418216391,0.2492682852,0.4792105968,-0.9998704189,0.6214855329,7.76610784050574E-05,0.0030889326,left,r_c
20,0.5478845626,0.2202199273,0.0195911056,-0.9998949163,-0.0029054135,-4.49083756228424E-05,0.0142025686,0.6417117979,0.2487111358,0.4780632568,-0.9998949163,-0.5249232011,-0.0019422712,0.0016407371,right,open
21,0.5481077551,-0.0273255024,0.0147968497,-0.9999520307,-0.0039719067,0.0029950988,0.0084373957,0.6414244184,0.2496562948,0.4793394684,-0.9999520307,0.5306472497,-0.0038537934,0.0034735047,right,open
22,0.5519144573,-0.0348848262,0.3180423144,-0.999893635,-0.005850948,0.0063589389,0.0117494218,0.6419348405,0.2489538806,0.4789546921,-0.999893635,0.5285425258,-0.004545029,0.0037081287,right,open
23,0.553637477,-0.1827373712,0.3165598363,-0.9998960321,-0.0056091955,0.0060231057,0.0118399384,0.6435747307,0.2486052673,0.4787121129,-0.9998960321,0.5268405392,-0.0062538122,0.0043116635,right,open
24,0.5549571114,-0.1852309384,0.4474028443,-0.9998932363,-0.0064315696,0.0063976335,0.0114551843,0.6418838749,0.2502134921,0.4788241739,-0.9998932363,0.525809968,-0.0038287502,0.0045477784,right,open
25,0.5552736998,-0.2660552515,0.4466396229,-0.9998766107,-0.0071061833,0.0072123079,0.0120103363,0.6539418381,0.3343981502,0.479746518,-0.9998766107,0.5271759404,-0.0056065733,0.004516943,both,open
26,0.5544574345,-0.2608584957,0.2674185538,-0.9998935454,-0.0056979115,0.0052497945,0.0123641112,0.6561564541,0.334804306,0.3043138333,-0.9998935454,0.52790511,-0.0052454079,0.0045616778,both,open
27,0.55067382,-0.2551050528,0.037468636,-0.9998478251,-0.0044777272,0.0096700247,0.013811852,0.6601007337,0.33353506,0.0682253982,-0.9998478251,0.4716624802,-0.0084902035,0.0001782013,both,open
28,0.6917949411,-0.2523229546,0.0407218486,-0.999836522,-0.0060694095,0.0090324347,0.0144397611,0.7373616479,0.3508008112,0.0494727797,-0.999836522,0.4700157563,-0.0089887678,0.0005397999,both,open
29,0.8390393688,-0.2482839447,-0.0376496918,-0.9997805128,-0.001024016,0.0061674718,0.019995997,0.8604295357,0.3855200128,-0.0263054175,-0.9997805128,0.4278932898,-0.0126381326,0.0010424602,both,open
30,0.6619726559,-0.2326311068,-0.0378692001,-0.9997937195,0.001155103,0.0020710554,0.0201716352,0.6588911804,0.3140287168,-0.0266684965,-0.9997937195,0.39143021,-0.0088972722,0.0010247981,both,open
31,0.6618953341,-0.2300630471,-0.1317308087,-0.9997877602,0.0059399988,0.0059119762,0.0188201884,0.662088034,0.3150431319,-0.1573368809,-0.9997877602,0.3648398135,-0.0098369119,0.0056765246,both,open
32,0.4646235049,-0.229405103,-0.1312450848,-0.9998112014,0.0029864683,0.0004946772,0.0191936916,0.5140074377,0.2773834601,-0.1920136234,-0.9998112014,0.3413026523,-0.0139937948,0.0044275937,both,open
33,0.4126749586,-0.2348769427,-0.1411148315,-0.9997850464,0.0051532366,-0.0007163414,0.0200696774,0.4598049401,0.3683179461,-0.203345477,-0.9997850464,0.3235529488,-0.0114373335,0.0063443336,both,open
34,0.4125251699,-0.2349679679,-0.1411079051,-0.9997490473,0.0052042783,0.002745271,0.0216153043,0.4598845826,0.3678865385,-0.2032517602,-0.9997490473,0.3040628231,-0.0057094863,0.0032000985,left,rl_o
35,0.4687012025,-0.4372379799,-0.0740565764,-0.9997644942,0.0075286842,0.0050078114,0.0197280758,0.5823779628,0.2407412999,-0.0640307333,-0.9997644942,0.3088791177,-0.0105686455,0.0013560788,both,open
