step,r_position_x,r_position_y,r_position_z,r_orientation_x,r_orientation_y,r_orientation_z,r_orientation_w,l_position_x,l_position_y,l_position_z,l_orientation_x,l_orientation_y,l_orientation_z,l_orientation_w,direction,gripper
1,0.5521155484,0.004348822,0.404146184,-0.9999775604,-0.0033918904,0.0022370538,0.0053262959,0.7682384313,0.1942661827,0.0889949382,-0.9999775604,-0.0038443865,0.0012530249,0.0051095011,left,open
2,0.5524079938,0.0065159451,0.4041640425,-0.9999430725,-0.0041636534,0.0059082329,0.0078491047,0.5894214851,0.1919755896,0.0878974992,-0.9999430725,-0.0074357899,-0.0007967943,0.0109914253,left,open
3,0.5525623818,0.0052117748,0.4037115465,-0.9999601509,-0.0036092449,0.0079985559,0.0016410402,0.5898449743,0.1403402676,0.086179088,-0.9999601509,-0.0027055553,0.0021036787,0.0095115707,left,open
4,0.5526178413,0.0041138617,0.4038102166,-0.9999854728,-0.0039357819,0.0017740412,0.0032274638,0.5895752867,0.1411169579,-0.0053471123,-0.9999854728,0.0003021217,0.0022050653,0.0048096027,left,open
5,0.5516029889,0.0055940956,0.4041787129,-0.9999621335,-0.0056723973,0.0052887108,0.0039477892,0.59052687,0.0977143288,-0.0061435843,-0.9999621335,-0.0049720146,-0.0009448072,0.0090357716,left,open
6,0.5525819626,0.0054613287,0.404746271,-0.9999287406,-0.0098278923,0.0042272262,0.0052968702,0.5910926263,0.0976228363,0.0258466746,-0.9999287406,-0.0036938644,0.0024282695,0.0065160016,left,open
7,0.5523839486,0.0056224553,0.4033330964,-0.9999710932,-0.0032694241,0.005438865,0.0041883695,0.6769580475,0.0966728626,0.0255241349,-0.9999710932,0.0015139909,0.001751873,0.0106002074,left,open
8,0.5526094045,0.0057021892,0.4037657483,-0.9999714761,-0.0032379064,0.0049782984,0.0046668461,0.6763292359,0.0251820425,0.023968466,-0.9999714761,0.0023109624,0.0017370479,0.0112751139,left,open
9,0.5523342374,0.0059482719,0.4034573231,-0.9999712977,-0.0034609663,0.0051820417,0.0043095132,0.6334918895,0.0258055068,0.0233398581,-0.9999712977,0.0009149948,0.0022808073,0.0113774911,left,open
10,0.5531393377,0.0057737848,0.4038559393,-0.9999422258,-0.0045047471,0.00762282,0.0060946641,0.6332770704,0.025589781,0.0230983193,-0.9999422258,0.0003542146,-0.0010293323,0.008374704,left,l_c
11,0.9110758027,-1.1026789452,0.3084404373,0.268953676,0.6547088011,-0.2713023707,0.652238706,0.9149330197,1.0994367508,0.3088905911,0.268953676,0.6542538131,0.2684406512,0.6537362278,left,r_o
12,0.5527091986,0.0057411531,0.4037179903,-0.9999729355,-0.0067742387,0.0018682345,0.0021788974,0.6376464581,0.2689100425,0.0321283393,-0.9999729355,0.0066324996,0.0039937175,0.0146855832,left,open
13,0.5521331575,0.0055591747,0.4037279961,-0.9999641036,-0.0074433712,0.0005974985,0.0040038501,0.6434216728,0.2533202157,0.4815396705,-0.9999641036,0.0018583676,0.0063189311,0.0182600021,left,open
14,0.549321931,0.0131381051,-0.179161115,-0.9999521296,-0.0071927556,0.0021656092,0.0062700059,0.6436268769,0.2536228702,0.4817427539,-0.9999521296,-0.0072198928,0.0041605196,0.0173610972,right,open
15,0.5473690225,0.1514579677,-0.1776605335,-0.9999489035,-0.0066864629,0.0026673675,0.0070969523,0.6428639135,0.2534118375,0.4817427856,-0.9999489035,-0.0055359959,0.0051756832,0.0170968511,right,open
16,0.5471888281,0.1524294414,-0.1773515685,-0.9973981433,-0.071591938,-0.0017833847,0.0082678712,0.6444394736,0.2527026538,0.4802441906,-0.9973981433,-0.7396217226,-0.0120187254,0.0191352746,left,open
17,0.5725879735,0.1152969309,0.2278211449,-0.9973184144,-0.0727790833,-0.0012865025,0.0075848669,0.6440380957,0.2544987557,0.4807895433,-0.9973184144,-0.7409328551,-0.0125622968,0.0196267763,right,open
18,0.5679551259,0.1559956024,0.2292607232,-0.9974621028,-0.0706247734,-0.0015943743,0.0088855391,0.6442207141,0.2539104375,0.4813582947,-0.9974621028,-0.7405965509,-0.0128074748,0.0185656786,right,open
19,0.9110758027,-1.1026789452,0.3084404373,0.268953676,0.6547088011,-0.2713023707,0.652238706,0.9149330197,1.0994367508,0.3088905911,0.268953676,0.6542538131,0.2684406512,0.6537362278,left,r_c
20,0.5336712958,0.1001515008,0.4437154873,-0.9976967055,-0.0675626186,-0.0034996026,0.0049324538,0.6441729293,0.2521969715,0.4810015041,-0.9976967055,-0.593273416,-0.0112357937,0.0096660103,right,open
21,0.5499756687,-0.0306110768,0.4415463126,-0.9979773691,-0.0625313738,-0.0075473018,0.0086044301,0.644106761,0.2525658149,0.4798417795,-0.9979773691,-0.5977637195,-0.0050197003,0.0126457502,right,open
22,0.5078052922,-0.046225094,0.4377904872,-0.9981944217,-0.0588058413,-0.0032526143,0.0117978799,0.5120353072,0.1749662471,0.4817005031,-0.9981944217,-0.128312884,0.0010925994,0.0207669079,both,open
23,0.4233649782,-0.0720575834,0.436169087,-0.9983469253,-0.0539855212,-0.00830972,0.017886554,0.4360479276,0.1489726184,0.4776944425,-0.9983469253,-0.1271724517,0.0047782446,0.01718187,both,open
24,0.4269505459,-0.0684662681,0.339848009,-0.9987060694,-0.0470787414,-0.0110357877,0.0157477091,0.4334283354,0.1528908437,0.3471557877,-0.9987060694,0.047315768,0.0095153135,0.0137493848,both,open
25,0.5624268722,-0.0574585489,0.3437544781,-0.9989447059,-0.0415771549,-0.014129097,0.0134604383,0.5566331951,0.1446172806,0.3456089944,-0.9989447059,0.0429878355,0.0033857762,0.0140943507,both,open
26,0.635730719,-0.0505424249,0.345721526,-0.998901583,-0.0422912751,-0.0147972961,0.0137155192,0.6471569385,0.1347425447,0.3450677148,-0.998901583,0.0431726671,0.0046611594,0.0115257342,both,open
27,0.6387896235,-0.046724387,0.2006284149,-0.9988999995,-0.0428947096,-0.0139545427,0.0128103704,0.6453568223,0.138014681,0.2027710756,-0.9988999995,0.0432503324,0.0054351383,0.0114759255,both,open
27,0.7041022845,-0.0406913871,0.2011463387,-0.9989097456,-0.0450015714,-0.0097454937,0.0076944246,0.7443927255,0.1298193633,0.1996452601,-0.9989097456,0.0477974323,0.0077217645,0.0080807351,both,open
28,0.8203636847,-0.0331324873,0.2029241771,-0.9991154818,-0.0415050128,-0.005392224,0.004063491,0.8334470268,0.1278581295,0.1988964438,-0.9991154818,0.0423970699,0.00850432,0.0048280227,both,open
30,0.820908553,-0.030018833,0.0785252201,-0.9990550629,-0.0429675509,-0.0049292137,0.004298106,0.8321143514,0.1345462354,0.0712446092,-0.9990550629,0.0387319032,0.0086123383,0.0043370068,both,open
31,0.8278469363206468,-0.03116152438160508,-0.16411745237698508,-0.9992485918630089,-0.03685401277082271,-0.011874015844752285,0.0017438893888886945,0.8255322101965206,0.14009829022400164,-0.1787773291316021,-0.9992485918630089,0.03145259177339569,0.013342885664049956,0.001758804280946635,both,open
31,0.8278766004136869,-0.03158511297251036,-0.1642153203391698,-0.9990532917839638,-0.03988357385890656,-0.016435300453132188,0.005630418357671706,0.8252335320271708,0.1400550959306149,-0.17915453283665067,-0.9990532917839638,0.0324489358787987,0.009140551047893032,0.0010001561300261932,left,rl_o
33,0.819063794564323,-0.03518544645284308,0.10471882906734906,-0.999058657351398,-0.039847383980963484,-0.01644665219716746,0.004846936413960542,0.8541643532936815,0.13101386871622867,-0.09700384292607886,-0.999058657351398,-0.02911825484302258,-0.010843199887081533,0.0028851563625176806,both,open
